Quantity,Manufacturer Part Number,Manufacturer,Customer Reference,Description
1,USB4110-GF-A,GCT,J1,USB-C 2.0 receptacle right-angle SMD
1,SM02B-GHS-TB(LF)(SN),JST,J2,LiPo battery header JST-GH 2-pin 1.25mm
2,DF40C-100DP-0.4V(51),Hirose,J3 J4,CM4 mezzanine plug 100-pos 0.4mm (1.5mm stack)
3,1-84982-5,TE Connectivity,J5 J6 J7,FFC/FPC 15-pos 1.0mm vertical SMT socket
1,DM3D-SF,Hirose,J8,microSD push-push card socket
1,SM04B-GHS-TB(LF)(SN),JST,J9,Stereo speaker header JST-GH 4-pin 1.25mm
1,BQ24075RGTR,Texas Instruments,U1,DPPM Li-ion charger QFN-16
1,TPS61088RHLR,Texas Instruments,U2,5V boost converter QFN-20
1,MAX17048G+T10,Analog Devices,U3,I2C fuel gauge TDFN-8
1,AP9101CK6-ADTRG1,Diodes Incorporated,U4,1-cell battery protection IC SOT-23-6
1,"PCA9544APW,118",NXP,U5,4-channel I2C mux TSSOP-20
1,AP2112K-3.3TRG1,Diodes Incorporated,U7,3.3V 600mA LDO SOT-23-5
2,ICS-43434,TDK InvenSense,U8 U9,I2S MEMS microphone
2,MAX98357AETE+T,Analog Devices,U10 U11,I2S class-D amplifier TQFN-16
1,FS8205A,evvo,Q1,Dual N-MOSFET battery protection SOT-23-6
1,DMG2305UX-7,Diodes Incorporated,Q2,P-channel MOSFET SOT-23
1,2N7002-7,Diodes Incorporated,Q3,N-channel MOSFET SOT-23
1,SRP1245A-1R0M,Bourns,L1,1uH 29A shielded power inductor
1,NCP18XH103F03RB,Murata,RT1,10k NTC thermistor 0603
4,APA1606ZGC,Kingbright,D1 D2 D3 D4,LED green side-view (right-angle) 1606
6,PTS645VL39-2 LFS,C&K,SW1 SW2 SW3 SW4 SW5 SW6,Tact switch 6mm side-actuated right-angle THT
2,RC0402FR-075K1L,Yageo,R1 R2,RES 5.1k 1% 0402
2,RC0402FR-071K1L,Yageo,R3 R4,RES 1.1k 1% 0402
1,RC0402FR-0716K2L,Yageo,R6,RES 16.2k 1% 0402
10,RC0402FR-074K7L,Yageo,R7 R8 R15 R16 R17 R18 R19 R20 R21 R22,RES 4.7k 1% 0402
7,RC0402FR-0710KL,Yageo,R9 R11 R33 R34 R35 R44 R45,RES 10k 1% 0402
1,RC0402FR-0768KL,Yageo,R10,RES 68k 1% 0402
4,RC0402FR-071KL,Yageo,R12 R13 R36 R37,RES 1k 1% 0402
1,RC0402FR-07330RL,Yageo,R14,RES 330 1% 0402
6,RC0402FR-0751KL,Yageo,R23 R24 R25 R26 R27 R28,RES 51k 1% 0402
8,RC0402FR-07100KL,Yageo,R5 R29 R30 R31 R32 R39 R42 R43,RES 100k 1% 0402
2,RC0402FR-071ML,Yageo,R38 R40,RES 1M 1% 0402
1,RC0402FR-07270KL,Yageo,R41,RES 270k 1% 0402
5,CL10B105KA8NNNC,Samsung,C1 C8 C14 C15 C16,CAP 1uF 25V X7R 0603
6,CL21A106KAYNNNE,Samsung,C2 C3 C10 C12 C20 C22,CAP 10uF 25V X5R 0805
2,CL21A226MAYNNNE,Samsung,C4 C7,CAP 22uF 25V X5R 0805
1,CL10B103KB8NNNC,Samsung,C5,CAP 10nF 50V X7R 0603
1,CL10B472KB8NNNC,Samsung,C6,CAP 4.7nF 50V X7R 0603
1,CL31A107MQHNNNE,Samsung,C9,CAP 100uF 6.3V X5R 1206/1210
9,CL10B104KB8NNNC,Samsung,C11 C13 C17 C18 C19 C21 C23 C24 C25,CAP 0.1uF 50V X7R 0603
